,soil_moisture_30cm_pct,soil_moisture_60cm_pct,soil_ec_30cm,soil_ec_60cm,soil_ph_30cm,soil_ph_60cm,soil_co2_ppm,tank_air_co2_ppm,soil_temp_30cm_C
TA (HCO₃),-0.08424756452442657,-0.2151103077611477,0.2460534888861298,0.4488259038042399,0.08061713116744605,0.1056195075250392,0.4785974742504023,0.24475920163181566,0.10348863470365477
EC (lab),-0.11431672235006818,-0.05912247704665405,0.3885923735520578,0.7022103113288896,0.26464089400760754,0.11772371522977822,0.31779698791020916,0.21180764426861823,0.24753482286340614
EC (field),-0.10199693429384381,-0.06059182076610381,0.39044375697960754,0.7014050865119401,0.2595916530406023,0.11766704760925603,0.31703873265176086,0.20853965330054863,0.23572909503850162
Ca,-0.18194141699973826,-0.13734705565929375,0.37313936922491875,0.6875818855620734,0.23259411948040978,0.10968890454428801,0.3753307655971682,0.3003213138798792,0.31611965457975744
Mg,-0.17594741486128448,-0.1122973779562803,0.34763844061038823,0.6953108137884478,0.24809676569912675,0.12448539535264098,0.35370375975294205,0.26354972664104365,0.2837757572403144
Σcations,-0.15490494403040828,-0.11849519132286389,0.3702339972307911,0.6938772273101826,0.24307623279586416,0.11502362138785371,0.3550159668757112,0.23987995146373267,0.2751250378988584
pH,0.4276799511901071,0.2302452966870121,-0.1350665780830678,-0.29920420259922603,-0.1747194430831341,0.06208500348934197,-0.6690649455524841,-0.5693532654593434,-0.7754053026165154
Si,-0.3961719617456107,-0.3890638094130938,0.23493072143261642,0.2744502188134126,-0.06799022477126888,-0.031929452368051295,0.2014506826031418,0.3170667974324425,0.307818316114721
Na,0.006992735841065157,-0.05252729895100935,0.31193468670956237,0.5824729759068895,0.2039933583482803,0.11313142021795007,0.2853063444460384,-0.01987564855326523,0.03768670372399695
