variant,date,param,kind,unit,value_conc,below_lod,raw,pumped_volume_l,lab_no,source_file,treatment,treatment_group,treatment_group_label,soil,sensor,phase,experiment_start_date,days
000.A,2022-07-05,DOC,ion,umol/l,782.6159353925569,False,9.4,4.1,AP2235916,CDIFUE21_AB2208552.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,51
000.A,2022-07-05,EC_field_uS_per_cm_25degC,direct,uS/cm,650.0,False,650,4.1,AP2235916,CDIFUE21_AB2208552.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,51
000.A,2022-07-05,EC_lab_uS_per_cm_25degC,direct,uS/cm,659.0,False,659,4.1,AP2235916,CDIFUE21_AB2208552.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,51
000.A,2022-07-05,Fe,ion,umol/l,0.16116035455278,False,0.009,4.1,AP2235916,CDIFUE21_AB2208552.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,51
000.A,2022-07-05,HCO3,ion,umol/l,1950.2761525476503,False,119,4.1,AP2235916,CDIFUE21_AB2208552.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,51
000.A,2022-07-05,HCO3_hardness_dH,direct,dH,5.46,False,5.46,4.1,AP2235916,CDIFUE21_AB2208552.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,51
000.A,2022-07-05,K,ion,umol/l,409.2280935086194,False,16,4.1,AP2235916,CDIFUE21_AB2208552.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,51
000.A,2022-07-05,Kb8.2_mmol_per_l,direct,mmol/l,0.26,False,0.26,4.1,AP2235916,CDIFUE21_AB2208552.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,51
000.A,2022-07-05,Ks4.3_mmol_per_l,direct,mmol/l,2.0,False,2,4.1,AP2235916,CDIFUE21_AB2208552.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,51
000.A,2022-07-05,Mg,ion,umol/l,576.0131660152232,False,14,4.1,AP2235916,CDIFUE21_AB2208552.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,51
000.A,2022-07-05,NO2,ion,umol/l,0.0,True,"<0,05",4.1,AP2235916,CDIFUE21_AB2208552.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,51
000.A,2022-07-05,NO3,ion,umol/l,1935.3590090961875,False,120,4.1,AP2235916,CDIFUE21_AB2208552.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,51
000.A,2022-07-05,Na,ion,umol/l,304.4802087864289,False,7,4.1,AP2235916,CDIFUE21_AB2208552.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,51
000.A,2022-07-05,O2_mg_per_l,direct,mg/l,7.8,False,7.8,4.1,AP2235916,CDIFUE21_AB2208552.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,51
000.A,2022-07-05,SO4,ion,umol/l,582.9689777222569,False,56,4.1,AP2235916,CDIFUE21_AB2208552.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,51
000.A,2022-07-05,Si,ion,umol/l,249.23449405397707,False,7,4.1,AP2235916,CDIFUE21_AB2208552.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,51
000.A,2022-07-05,pH_field,direct,pH,6.93,False,6.93,4.1,AP2235916,CDIFUE21_AB2208552.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,51
000.A,2022-07-05,pH_lab,direct,pH,6.91,False,6.91,4.1,AP2235916,CDIFUE21_AB2208552.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,51
000.A,2022-07-05,sum_anions_meq_per_l,direct,meq/l,6.24240682948387,False,6.24240682948387,4.1,AP2235916,CDIFUE21_AB2208552.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,51
000.A,2022-07-05,sum_cations_meq_per_l,direct,meq/l,6.36614094234303,False,6.36614094234303,4.1,AP2235916,CDIFUE21_AB2208552.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,51
000.A,2022-07-05,temp_air_degC,direct,degC,27.0,False,27,4.1,AP2235916,CDIFUE21_AB2208552.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,51
000.A,2022-07-05,temp_pH_lab_degC,direct,degC,20.0,False,20,4.1,AP2235916,CDIFUE21_AB2208552.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,51
000.A,2022-07-05,temp_water_field_degC,direct,degC,19.3,False,19.3,4.1,AP2235916,CDIFUE21_AB2208552.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,51
000.A,2022-07-18,Al,ion,umol/l,0.0,True,"<0,02",5.0,AP2238259,CDIFUE21_AB2209146.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,64
000.A,2022-07-18,Ca,ion,umol/l,2245.6210389740004,False,90,5.0,AP2238259,CDIFUE21_AB2209146.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,64
000.A,2022-07-18,Cl,ion,umol/l,1382.111527938397,False,49,5.0,AP2238259,CDIFUE21_AB2209146.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,64
000.A,2022-07-18,DOC,ion,umol/l,765.9645325118641,False,9.2,5.0,AP2238259,CDIFUE21_AB2209146.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,64
000.A,2022-07-18,EC_field_uS_per_cm_25degC,direct,uS/cm,620.0,False,620,5.0,AP2238259,CDIFUE21_AB2209146.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,64
000.A,2022-07-18,EC_lab_uS_per_cm_25degC,direct,uS/cm,618.0,False,618,5.0,AP2238259,CDIFUE21_AB2209146.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,64
000.A,2022-07-18,Fe,ion,umol/l,0.21488047273704,False,0.012,5.0,AP2238259,CDIFUE21_AB2209146.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,64
000.A,2022-07-18,HCO3,ion,umol/l,3081.1085435206583,False,188,5.0,AP2238259,CDIFUE21_AB2209146.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,64
000.A,2022-07-18,HCO3_hardness_dH,direct,dH,8.65,False,8.65,5.0,AP2238259,CDIFUE21_AB2209146.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,64
000.A,2022-07-18,K,ion,umol/l,281.34431428717585,False,11,5.0,AP2238259,CDIFUE21_AB2209146.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,64
000.A,2022-07-18,Kb8.2_mmol_per_l,direct,mmol/l,0.56,False,0.56,5.0,AP2238259,CDIFUE21_AB2209146.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,64
000.A,2022-07-18,Ks4.3_mmol_per_l,direct,mmol/l,3.1,False,3.1,5.0,AP2238259,CDIFUE21_AB2209146.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,64
000.A,2022-07-18,Mg,ion,umol/l,534.8693684427072,False,13,5.0,AP2238259,CDIFUE21_AB2209146.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,64
000.A,2022-07-18,NO2,ion,umol/l,0.0,True,"<0,05",5.0,AP2238259,CDIFUE21_AB2209146.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,64
000.A,2022-07-18,NO3,ion,umol/l,119.34713889426487,False,7.4,5.0,AP2238259,CDIFUE21_AB2209146.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,64
000.A,2022-07-18,Na,ion,umol/l,521.9660722053067,False,12,5.0,AP2238259,CDIFUE21_AB2209146.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,64
000.A,2022-07-18,O2_mg_per_l,direct,mg/l,7.9,False,7.9,5.0,AP2238259,CDIFUE21_AB2209146.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,64
000.A,2022-07-18,SO4,ion,umol/l,874.4534665833854,False,84,5.0,AP2238259,CDIFUE21_AB2209146.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,64
000.A,2022-07-18,Si,ion,umol/l,249.23449405397707,False,7,5.0,AP2238259,CDIFUE21_AB2209146.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,64
000.A,2022-07-18,pH_field,direct,pH,6.93,False,6.93,5.0,AP2238259,CDIFUE21_AB2209146.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,64
000.A,2022-07-18,pH_lab,direct,pH,6.91,False,6.91,5.0,AP2238259,CDIFUE21_AB2209146.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,64
000.A,2022-07-18,sum_anions_meq_per_l,direct,meq/l,6.28160374196528,False,6.28160374196528,5.0,AP2238259,CDIFUE21_AB2209146.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,64
000.A,2022-07-18,sum_cations_meq_per_l,direct,meq/l,6.37345800897195,False,6.37345800897195,5.0,AP2238259,CDIFUE21_AB2209146.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,64
000.A,2022-07-18,temp_air_degC,direct,degC,30.0,False,30,5.0,AP2238259,CDIFUE21_AB2209146.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,64
000.A,2022-07-18,temp_pH_lab_degC,direct,degC,19.6,False,19.6,5.0,AP2238259,CDIFUE21_AB2209146.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,64
000.A,2022-07-18,temp_water_field_degC,direct,degC,18.4,False,18.4,5.0,AP2238259,CDIFUE21_AB2209146.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,64
000.A,2022-08-01,Al,ion,umol/l,0.0,True,"<0,02",5.3,AP2241436,CDIFUE21_AB2209902.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,78
