variant,treatment,treatment_label,treatment_group,treatment_group_label,soil,soil_name,sensor,phase,experiment_start_date,date,days,TA_umol_per_l,sampling_interval_days,rain_interval_mm,temp_mean_interval_C,rain_interval_onsite_mm,temp_mean_interval_onsite_C,TA_flux_mmol_per_m2_pumped,TA_cum_mmol_per_m2_pumped,TA_CO2_t_per_ha_per_yr_pumped,TA_CO2cum_t_per_ha_pumped,TA_flux_mmol_per_m2_avgBD,TA_cum_mmol_per_m2_avgBD,TA_CO2_t_per_ha_per_yr_avgBD,TA_CO2cum_t_per_ha_avgBD,TA_flux_mmol_per_m2_dumpmodel,TA_cum_mmol_per_m2_dumpmodel,TA_CO2_t_per_ha_per_yr_dumpmodel,TA_CO2cum_t_per_ha_dumpmodel
000.A,000,Control,000,Control,FUERTH2022,Fürth 2022,False,2022,2022-05-15,2023-01-17,247,3318.7472343773043,36.0,64.39999999999999,4.558333333333334,47.2,,49.04552563119168,739.2512996660624,0.2189921853675034,0.3253371044700374,179.8335939810362,1294.2572853319316,0.8029713463475129,0.5695896887017298,114.43955980611392,1216.9506826450931,0.5109817658575083,0.535567825925279
000.A,000,Control,000,Control,FUERTH2022,Fürth 2022,False,2022,2022-05-15,2023-02-14,275,2949.997541668715,28.0,37.0,0.2178571428571428,8.199999999999996,,29.064015188854334,768.3153148549168,0.1668511888514312,0.3381278869145003,106.56805569246588,1400.8253410243974,0.6117876924552479,0.616489224331427,116.25606075541734,1333.2067434005105,0.6674047554057251,0.5867309557031306
000.A,000,Control,000,Control,FUERTH2022,Fürth 2022,False,2022,2022-05-15,2023-03-13,302,2809.053214677877,27.0,50.099999999999994,4.725925925925925,32.2,,62.26965254212042,830.5849673970372,0.3707186229332356,0.365532138301762,77.26049482077903,1478.0858358451765,0.4599656988245701,0.6504907954971036,62.26965254212042,1395.476395942631,0.3707186229332356,0.6141352070903924
000.A,000,Control,000,Control,FUERTH2022,Fürth 2022,False,2022,2022-05-15,2023-04-17,337,3064.719668289165,35.0,57.99999999999999,7.462857142857144,39.400000000000006,,52.83999428084766,883.4249616778848,0.242675784673915,0.3887864913848203,106.93808366362026,1585.0239195087968,0.4911295642210184,0.6975531767366263,105.67998856169532,1501.1563845043263,0.48535156934783,0.660643913256509
000.A,000,Control,000,Control,FUERTH2022,Fürth 2022,False,2022,2022-05-15,2023-05-16,366,3687.4969270858937,29.0,62.2,11.820689655172414,29.6,,27.24751423955094,910.6724759174358,0.151029093356899,0.4007778499265043,27.24751423955094,1612.2714337483478,0.151029093356899,0.7095445352783103,27.24751423955094,1528.403898743877,0.151029093356899,0.6726352717981928
000.A,000,Control,000,Control,FUERTH2022,Fürth 2022,False,2022,2022-05-15,2023-06-20,401,,35.0,62.6,17.525714285714287,14.8,,,,,,,,,,,,,
000.A,000,Control,000,Control,FUERTH2022,Fürth 2022,False,2022,2022-05-15,2023-12-05,569,3507.219299539473,168.0,433.9,14.89642857142857,172.79999999999998,,233.23872189055604,1143.9111978079918,0.2231634650887893,0.5034238790433191,270.6720970087934,1882.9435307571412,0.2589798236832863,0.8286646184509102,233.23872189055604,1761.6426206344331,0.2231634650887893,0.7752813009150077
000.A,000,Control,000,Control,FUERTH2022,Fürth 2022,False,2022,2022-05-15,2024-05-16,732,3018.830817640985,163.0,269.5,7.470552147239263,185.4,,602.2790547510339,1746.1902525590258,0.5939390509648218,0.7684808682487017,634.4997449228999,2517.443275680041,0.6257135680946271,1.1079016111940292,1152.5093023013612,2914.1519229357946,1.1365500357968812,1.2824891197648138
000.A,000,Control,000,Control,FUERTH2022,Fürth 2022,False,2022,2022-05-15,2024-08-29,837,4769.162692364423,105.0,241.1,19.176190476190477,92.3,21.283783783783782,182.07394515184373,1928.2641977108697,0.2787341804868077,0.8486097907705765,285.83651604482986,2803.279791724871,0.4375826919470313,1.2336954035401984,182.07394515184373,3096.2258680876384,0.2787341804868077,1.3626180422866887
000.A,000,Control,000,Control,FUERTH2022,Fürth 2022,False,2022,2022-05-15,2024-12-10,940,4392.218562040087,103.0,215.9,10.216504854368932,199.4,10.33883495145631,373.2303950502044,2301.494592761074,0.5824672408221324,1.0128647553282208,486.8222544133101,3290.102046138181,0.7597398793332161,1.447941009484952,373.2303950502044,3469.4562631378426,0.5824672408221324,1.526873006844333
000.A,000,Control,000,Control,FUERTH2022,Fürth 2022,False,2022,2022-05-15,2025-02-19,1011,2802.4976645852794,71.0,80.10000000000001,1.3169014084507042,58.400000000000006,1.4070422535211269,31.06216623308807,2332.556758994162,0.0703242510757616,1.0265349040657408,222.0369660365184,3512.1390121746995,0.5026881650971112,1.5456572578679637,231.24057084632233,3700.696833984165,0.5235249802306705,1.6286396696680912
000.A,000,Control,000,Control,FUERTH2022,Fürth 2022,False,2022,2022-05-15,2025-09-24,1228,4195.552059262172,217.0,385.0,14.575576036866355,339.29999999999995,14.855299539170506,320.3500340815944,2652.9067930757565,0.2372994685887021,1.1675177505647096,320.3500340815944,3832.489046256294,0.2372994685887021,1.6866401043669323,320.3500340815944,4021.04686806576,0.2372994685887021,1.76962251616706
