strategy,n,median_abs_rel_dev,rms_rel_dev,within_BCD_range,median_abs_z
pumped,85,0.424177755460708,0.5304751332460115,0.21176470588235294,2.543087903765131
avgBD,85,0.05944319036869827,0.11326643781282697,0.7058823529411765,0.38651368266215674
dumpmodel,85,0.22469174585722143,0.5960410738957591,0.3411764705882353,1.613531531606821
