variant,date,treatment,replicate,volume_pumped,volume_avgBD,volume_dumpmodel,dump_volume_l,volume_source
400.C,2024-08-29,400,C,28.0,28.0,28.0,0.0,xlsx_bemerkung
400.C,2024-12-10,400,C,41.0,41.0,41.0,0.0,xlsx_bemerkung
400.C,2025-02-19,400,C,32.5,32.5,32.5,0.0,xlsx_bemerkung
400.D,2022-06-20,400,D,0.4975961538461538,0.4975961538461538,0.4975961538461538,0.0,estimated_export_interp
400.D,2022-07-05,400,D,0.45,0.45,0.45,0.0,xlsx_bemerkung
400.D,2022-07-18,400,D,7.4,7.4,7.4,0.0,xlsx_bemerkung
400.D,2022-08-01,400,D,12.3,12.3,12.3,0.0,xlsx_bemerkung
400.D,2022-08-16,400,D,2.0,2.0,2.0,0.0,xlsx_bemerkung
400.D,2022-08-30,400,D,36.0,36.0,36.0,0.0,xlsx_bemerkung
400.D,2022-09-13,400,D,5.0,5.0,5.0,0.0,xlsx_bemerkung
400.D,2022-10-11,400,D,10.5,10.5,10.5,0.0,xlsx_bemerkung
400.D,2022-11-15,400,D,9.0,9.0,9.0,0.0,xlsx_bemerkung
400.D,2022-12-12,400,D,20.5,20.5,20.5,0.0,xlsx_bemerkung
400.D,2023-01-17,400,D,24.0,24.0,24.0,0.0,xlsx_bemerkung
400.D,2023-02-14,400,D,17.0,17.0,17.0,0.0,xlsx_bemerkung
400.D,2023-03-13,400,D,12.0,12.0,12.0,0.0,xlsx_bemerkung
400.D,2023-04-17,400,D,15.0,15.0,15.0,0.0,xlsx_bemerkung
400.D,2023-05-16,400,D,3.0,3.0,3.0,0.0,notebook_gapfill
400.D,2023-06-20,400,D,2.0,2.0,2.0,0.0,xlsx_bemerkung
400.D,2023-09-12,400,D,10.0,10.0,10.0,0.0,xlsx_bemerkung
400.D,2023-12-05,400,D,31.0,31.0,31.0,0.0,xlsx_bemerkung
400.D,2024-05-16,400,D,85.0,85.0,157.5,72.5,xlsx_bemerkung
400.D,2024-08-29,400,D,20.0,20.0,20.0,0.0,xlsx_bemerkung
400.D,2024-12-10,400,D,46.5,46.5,46.5,0.0,xlsx_bemerkung
400.D,2025-02-19,400,D,23.5,23.5,23.5,0.0,xlsx_bemerkung
400.E,2022-06-20,FINE,4,2.5074626865671643,2.5074626865671643,2.5074626865671643,0.0,estimated_export_interp
400.E,2022-07-05,FINE,4,2.1,2.1,2.1,0.0,xlsx_bemerkung
400.E,2022-07-18,FINE,4,3.0,3.0,3.0,0.0,xlsx_bemerkung
400.E,2022-08-01,FINE,4,6.5,6.5,6.5,0.0,xlsx_bemerkung
400.E,2022-08-16,FINE,4,2.0,2.0,2.0,0.0,xlsx_bemerkung
400.E,2022-08-30,FINE,4,36.0,36.0,36.0,0.0,xlsx_bemerkung
400.E,2022-09-13,FINE,4,1.0,1.0,1.0,0.0,xlsx_bemerkung
400.E,2022-10-11,FINE,4,7.0,7.0,7.0,0.0,xlsx_bemerkung
400.E,2022-11-15,FINE,4,7.0,7.0,7.0,0.0,xlsx_bemerkung
400.E,2022-12-12,FINE,4,19.0,19.0,19.0,0.0,xlsx_bemerkung
400.E,2023-01-17,FINE,4,24.0,24.0,24.0,0.0,xlsx_bemerkung
400.E,2023-02-14,FINE,4,16.0,16.0,16.0,0.0,xlsx_bemerkung
400.E,2023-03-13,FINE,4,11.0,11.0,11.0,0.0,xlsx_bemerkung
400.E,2023-04-17,FINE,4,13.0,13.0,13.0,0.0,xlsx_bemerkung
400.E,2023-05-16,FINE,4,3.0,3.0,3.0,0.0,notebook_gapfill
400.E,2023-06-20,FINE,4,0.6,0.6,0.6,0.0,xlsx_bemerkung
400.E,2023-09-12,FINE,4,9.5,9.5,9.5,0.0,xlsx_bemerkung
400.E,2023-12-05,FINE,4,27.0,27.0,27.0,0.0,xlsx_bemerkung
400.E,2024-05-16,FINE,4,83.0,83.0,156.0,73.0,xlsx_bemerkung
400.E,2024-08-29,FINE,4,23.0,23.0,23.0,0.0,xlsx_bemerkung
400.E,2024-12-10,FINE,4,43.0,43.0,43.0,0.0,xlsx_bemerkung
400.E,2025-02-19,FINE,4,27.5,27.5,27.5,0.0,xlsx_bemerkung
400.E,2025-09-24,FINE,4,11.0,11.0,11.0,0.0,pn_pdf
400.E,2025-12-15,FINE,4,29.0,29.0,29.0,0.0,field_sheet
400.E,2026-02-25,FINE,4,43.0,43.0,43.0,0.0,pn_pdf
