variant,date,Al_umol_per_l,Ca_umol_per_l,Cl_umol_per_l,DOC_umol_per_l,EC_field_uS_per_cm_25degC,EC_lab_uS_per_cm_25degC,Fe_umol_per_l,HCO3_umol_per_l,HCO3_hardness_dH,K_umol_per_l,Kb8.2_mmol_per_l,Ks4.3_mmol_per_l,Mg_umol_per_l,NO2_umol_per_l,NO3_umol_per_l,Na_umol_per_l,O2_mg_per_l,SO4_umol_per_l,Si_umol_per_l,pH_field,pH_lab,sum_anions_meq_per_l,sum_cations_meq_per_l,temp_air_degC,temp_pH_lab_degC,temp_water_field_degC,treatment,replicate,soil,soil_name,phase,feedstock,sensor,treatment_label,treatment_group,treatment_group_label,experiment_start_date,days,volume_pumped,volume_avgBD,volume_dumpmodel,dump_volume_l,volume_source,Na_flux_mmol_per_m2_pumped,Na_flux_mmol_per_m2_avgBD,Na_flux_mmol_per_m2_dumpmodel,K_flux_mmol_per_m2_pumped,K_flux_mmol_per_m2_avgBD,K_flux_mmol_per_m2_dumpmodel,Ca_flux_mmol_per_m2_pumped,Ca_flux_mmol_per_m2_avgBD,Ca_flux_mmol_per_m2_dumpmodel,Mg_flux_mmol_per_m2_pumped,Mg_flux_mmol_per_m2_avgBD,Mg_flux_mmol_per_m2_dumpmodel,Cl_flux_mmol_per_m2_pumped,Cl_flux_mmol_per_m2_avgBD,Cl_flux_mmol_per_m2_dumpmodel,HCO3_flux_mmol_per_m2_pumped,HCO3_flux_mmol_per_m2_avgBD,HCO3_flux_mmol_per_m2_dumpmodel,NO3_flux_mmol_per_m2_pumped,NO3_flux_mmol_per_m2_avgBD,NO3_flux_mmol_per_m2_dumpmodel,SO4_flux_mmol_per_m2_pumped,SO4_flux_mmol_per_m2_avgBD,SO4_flux_mmol_per_m2_dumpmodel,Si_flux_mmol_per_m2_pumped,Si_flux_mmol_per_m2_avgBD,Si_flux_mmol_per_m2_dumpmodel,Al_flux_mmol_per_m2_pumped,Al_flux_mmol_per_m2_avgBD,Al_flux_mmol_per_m2_dumpmodel,Fe_flux_mmol_per_m2_pumped,Fe_flux_mmol_per_m2_avgBD,Fe_flux_mmol_per_m2_dumpmodel,DOC_flux_mmol_per_m2_pumped,DOC_flux_mmol_per_m2_avgBD,DOC_flux_mmol_per_m2_dumpmodel,Na_cumflux_mmol_per_m2_pumped,Na_cumflux_mmol_per_m2_avgBD,Na_cumflux_mmol_per_m2_dumpmodel,K_cumflux_mmol_per_m2_pumped,K_cumflux_mmol_per_m2_avgBD,K_cumflux_mmol_per_m2_dumpmodel,Ca_cumflux_mmol_per_m2_pumped,Ca_cumflux_mmol_per_m2_avgBD,Ca_cumflux_mmol_per_m2_dumpmodel,Mg_cumflux_mmol_per_m2_pumped,Mg_cumflux_mmol_per_m2_avgBD,Mg_cumflux_mmol_per_m2_dumpmodel,Cl_cumflux_mmol_per_m2_pumped,Cl_cumflux_mmol_per_m2_avgBD,Cl_cumflux_mmol_per_m2_dumpmodel,HCO3_cumflux_mmol_per_m2_pumped,HCO3_cumflux_mmol_per_m2_avgBD,HCO3_cumflux_mmol_per_m2_dumpmodel,NO3_cumflux_mmol_per_m2_pumped,NO3_cumflux_mmol_per_m2_avgBD,NO3_cumflux_mmol_per_m2_dumpmodel,SO4_cumflux_mmol_per_m2_pumped,SO4_cumflux_mmol_per_m2_avgBD,SO4_cumflux_mmol_per_m2_dumpmodel,Si_cumflux_mmol_per_m2_pumped,Si_cumflux_mmol_per_m2_avgBD,Si_cumflux_mmol_per_m2_dumpmodel,Al_cumflux_mmol_per_m2_pumped,Al_cumflux_mmol_per_m2_avgBD,Al_cumflux_mmol_per_m2_dumpmodel,Fe_cumflux_mmol_per_m2_pumped,Fe_cumflux_mmol_per_m2_avgBD,Fe_cumflux_mmol_per_m2_dumpmodel,DOC_cumflux_mmol_per_m2_pumped,DOC_cumflux_mmol_per_m2_avgBD,DOC_cumflux_mmol_per_m2_dumpmodel,sampling_interval_days,TA_CO2_t_per_ha_per_yr_pumped,TA_CO2cum_t_per_ha_pumped,TA_CO2_t_per_ha_per_yr_avgBD,TA_CO2cum_t_per_ha_avgBD,TA_CO2_t_per_ha_per_yr_dumpmodel,TA_CO2cum_t_per_ha_dumpmodel,rain_interval_mm,temp_mean_interval_C,rain_interval_onsite_mm,temp_mean_interval_onsite_C
000.A,2022-06-20,1.1118523460084502,1821.4481760566896,789.7780159647983,765.9645325118641,530.0,532.0,0.12534694242994,2097.776029631086,5.8,358.074581820042,0.21,2.1,493.7255708701913,0.0,1580.5431907618863,187.0378425402349,8.5,333.12513012700396,210.0690735597807,6.72,7.07,5.08440487806089,5.18291800476879,25.0,18.4,19.7,000,A,FUERTH2022,Fürth 2022,2022,,False,Control,000,Control,2022-05-15,36,3.81171875,2.6005903045363277,3.81171875,0.0,estimated_export_interp,1.755999141305815,1.1980512312599192,1.755999141305815,3.361772407443012,2.2936090782810377,3.361772407443012,17.100611243420154,11.667094745981291,17.100611243420154,4.6353276252225655,3.1625072234154756,4.6353276252225655,7.414807073376406,5.05884002722658,7.414807073376406,19.69490695922504,13.4370837530722,19.69490695922504,14.8388820576648,10.124003196542546,14.8388820576648,3.1275352330081048,2.1337979891765735,3.1275352330081048,1.972227158824988,1.3455753595627935,1.972227158824988,0.0104385922032312,0.007121853278585,0.0104385922032312,0.0011768159869836,0.000802896658095,0.0011768159869836,7.19123490248881,4.906305263224272,7.19123490248881,1.755999141305815,1.1980512312599192,1.755999141305815,3.361772407443012,2.2936090782810377,3.361772407443012,17.100611243420154,11.667094745981291,17.100611243420154,4.6353276252225655,3.1625072234154756,4.6353276252225655,7.414807073376406,5.05884002722658,7.414807073376406,19.69490695922504,13.4370837530722,19.69490695922504,14.8388820576648,10.124003196542546,14.8388820576648,3.1275352330081048,2.1337979891765735,3.1275352330081048,1.972227158824988,1.3455753595627935,1.972227158824988,0.0104385922032312,0.007121853278585,0.0104385922032312,0.0011768159869836,0.000802896658095,0.0011768159869836,7.19123490248881,4.906305263224272,7.19123490248881,36.0,0.0879393310623909,0.0086675316036853,0.0599976511247751,0.0059135261888895,0.0879393310623909,0.0086675316036853,39.099999999999994,17.861111111111114,37.2,
000.A,2022-07-05,0.0,2245.6210389740004,1241.0797393732546,782.6159353925569,650.0,659.0,0.16116035455278,1950.2761525476503,5.46,409.2280935086194,0.26,2.0,576.0131660152232,0.0,1935.3590090961875,304.4802087864289,7.8,582.9689777222569,249.23449405397707,6.93,6.91,6.24240682948387,6.36614094234303,27.0,20.0,19.3,000,A,FUERTH2022,Fürth 2022,2022,,False,Control,000,Control,2022-05-15,51,4.1,2.433333333333333,4.1,0.0,xlsx_bemerkung,3.0748001379910304,1.8248813827101236,3.0748001379910304,4.132598973855515,2.452680691800428,4.132598973855515,22.677453841855662,13.458976670369625,22.677453841855662,5.816881725769495,3.452295658383521,5.816881725769495,12.533071259680648,7.438326845176319,12.533071259680648,19.69490695922504,11.688847219702666,19.69490695922504,19.54426585540485,11.599442336947591,19.54426585540485,5.887125144485844,3.4939848418493225,5.887125144485844,2.5169000631066645,1.493769956152736,2.5169000631066645,0.0,0.0,0.0,0.0016274814129714,0.0009659036028204,0.0016274814129714,7.903264372190844,4.6905552778043225,7.903264372190844,4.830799279296845,3.0229326139700428,4.830799279296845,7.494371381298527,4.746289770081466,7.494371381298527,39.77806508527581,25.12607141635091,39.77806508527581,10.45220935099206,6.614802881798997,10.45220935099206,19.947878333057055,12.4971668724029,19.947878333057055,39.38981391845008,25.125930972774867,39.38981391845008,34.38314791306965,21.723445533490136,34.38314791306965,9.014660377493948,5.627782831025896,9.014660377493948,4.4891272219316525,2.8393453157155295,4.4891272219316525,0.0104385922032312,0.007121853278585,0.0104385922032312,0.0028042973999551,0.0017688002609154,0.0028042973999551,15.094499274679654,9.596860541028594,15.094499274679654,15.0,0.2110543945497382,0.0173350632073706,0.1252599252205763,0.0110576709618084,0.2110543945497382,0.0173350632073706,8.4,21.12666666666667,13.4,
000.A,2022-07-18,0.0,2245.6210389740004,1382.111527938397,765.9645325118641,620.0,618.0,0.21488047273704,3081.1085435206583,8.65,281.34431428717585,0.56,3.1,534.8693684427072,0.0,119.34713889426487,521.9660722053067,7.9,874.4534665833854,249.23449405397707,6.93,6.91,6.28160374196528,6.37345800897195,30.0,19.6,18.4,000,A,FUERTH2022,Fürth 2022,2022,,False,Control,000,Control,2022-05-15,64,5.0,3.3000000000000003,5.0,0.0,xlsx_bemerkung,6.42815359858752,4.242581375067763,6.42815359858752,3.4648314567386183,2.286788761447488,3.4648314567386183,27.655431514458133,18.25258479954237,27.655431514458133,6.587061187718069,4.347460383893926,6.587061187718069,17.021077930275826,11.233911433982046,17.021077930275826,37.944686496559825,25.04349308772949,37.944686496559825,1.4697923509145925,0.9700629516036308,1.4697923509145925,10.769131361864352,7.107626698830472,10.769131361864352,3.0693903208617863,2.025797611768779,3.0693903208617863,0.0,0.0,0.0,0.0026463112406039,0.0017465654187986,0.0026463112406039,9.43306074522,6.225820091845201,9.43306074522,11.258952877884363,7.265513989037806,11.258952877884363,10.959202838037143,7.033078531528954,10.959202838037143,67.43349659973396,43.37865621589329,67.43349659973396,17.039270538710127,10.962263265692922,17.039270538710127,36.96895626333288,23.731078306384944,36.96895626333288,77.3345004150099,50.169424060504355,77.3345004150099,35.85294026398424,22.69350848509377,35.85294026398424,19.7837917393583,12.73540952985637,19.7837917393583,7.558517542793439,4.8651429274843085,7.558517542793439,0.0104385922032312,0.007121853278585,0.0104385922032312,0.005450608640559,0.003515365679714,0.005450608640559,24.527560019899653,15.822680632873796,24.527560019899653,13.0,0.469179838736076,0.0340341402876417,0.3096586935658101,0.0220790618347873,0.469179838736076,0.0340341402876417,5.1,18.661538461538463,3.1999999999999997,
000.A,2022-08-01,0.0,2744.6479365237788,2369.3340478943956,657.7304137873616,840.0,839.0,0.0,4211.940934493666,11.8,186.7103176633076,0.44,4.2,699.444558732771,0.0,45.158376878911035,1565.89821661592,7.7,1041.0160316468873,210.0690735597807,7.29,7.11,8.65780656085287,8.65109511330028,28.0,19.1,20.1,000,A,FUERTH2022,Fürth 2022,2022,,False,Control,000,Control,2022-05-15,78,5.3,9.5,5.3,0.0,xlsx_bemerkung,20.44152844350831,36.640475511948864,20.44152844350831,2.4373514374766754,4.368837482269512,2.4373514374766754,35.82914793984242,64.22205762801944,35.82914793984242,9.130680200206124,16.366313566407204,9.130680200206124,30.92973018187265,55.44008240146985,30.92973018187265,54.98346540102568,98.5552681716498,54.98346540102568,0.5895059050695283,1.0566615279548148,0.5895059050695283,13.589618147114535,24.35874950897889,13.589618147114535,2.7422810095242305,4.915409356694375,2.7422810095242305,0.0,0.0,0.0,0.0,0.0,0.0,8.586135943529596,15.39024367236437,8.586135943529596,31.70048132139268,43.90598950098667,31.70048132139268,13.396554275513822,11.401916013798466,13.396554275513822,103.26264453957636,107.60071384391271,103.26264453957636,26.169950738916253,27.32857683210013,26.169950738916253,67.89868644520553,79.1711607078548,67.89868644520553,132.31796581603558,148.72469223215415,132.31796581603558,36.44244616905377,23.75017001304858,36.44244616905377,33.37340988647284,37.09415903883526,33.37340988647284,10.30079855231767,9.780552284178682,10.30079855231767,0.0104385922032312,0.007121853278585,0.0104385922032312,0.005450608640559,0.003515365679714,0.005450608640559,33.11369596342925,31.212924305238168,33.11369596342925,14.0,0.6313000120403738,0.0582318135759791,1.1315754932799151,0.0654522498044487,0.6313000120403738,0.0582318135759791,8.1,22.73571428571429,8.0,
000.A,2022-08-16,0.0,3243.674834073556,3102.6993484331365,757.6388310715178,990.0,985.0,0.0,4916.662569447858,13.7,219.9601002608829,0.36,4.9,905.1635465953508,0.0,16.127991742468225,2000.869943453676,,1145.1176348115762,192.26660969878233,7.14,7.34,10.2744200351058,10.5306484375822,28.0,18.9,19.5,000,A,FUERTH2022,Fürth 2022,2022,,False,Control,000,Control,2022-05-15,93,0.8,2.5,0.8,0.0,xlsx_bemerkung,3.942600873800347,12.320627730626082,3.942600873800347,0.4334189167702126,1.3544341149069143,0.4334189167702126,6.391477505563657,19.97336720488643,6.391477505563657,1.7835734908282774,5.573667158838367,1.7835734908282774,6.113693297405195,19.105291554391233,6.113693297405195,9.688005062951444,30.275015821723255,9.688005062951444,0.031779294073829,0.0993102939807156,0.031779294073829,2.25638942820015,7.051216963125469,2.25638942820015,0.3788504624606549,1.1839076951895462,0.3788504624606549,0.0,0.0,0.0,0.0,0.0,0.0,1.4928843962000349,4.665263738125109,1.4928843962000349,35.643082195193024,56.22661723161275,35.643082195193024,13.829973192284031,12.75635012870538,13.829973192284031,109.65412204514004,127.57408104879916,109.65412204514004,27.95352422974453,32.902243990938494,27.95352422974453,74.01237974261072,98.27645226224602,74.01237974261072,142.00597087898703,178.99970805387744,142.00597087898703,36.4742254631276,23.8494803070293,36.4742254631276,35.62979931467299,44.14537600196073,35.62979931467299,10.679649014778324,10.964459979368227,10.679649014778324,0.0104385922032312,0.007121853278585,0.0104385922032312,0.005450608640559,0.003515365679714,0.005450608640559,34.606580359629284,35.878188043363274,34.606580359629284,15.0,0.1038185175075572,0.0624954077241333,0.3244328672111163,0.0787759815174309,0.1038185175075572,0.0624954077241333,2.4,22.246666666666663,2.8000000000000007,
000.A,2022-08-30,0.0,4740.75552672289,5077.144388345133,999.084172841562,1353.0,1341.0,0.41185423941266,4933.051444679351,13.8,99.74934779272596,0.43,4.9,1234.3139271754785,0.0,3.54815818334301,2609.830361026534,3.8,2186.1336664584633,227.87153742077908,7.12,7.18,14.3333971518162,14.6784000729272,14.0,19.0,18.9,000,A,FUERTH2022,Fürth 2022,2022,,False,Control,000,Control,2022-05-15,107,22.0,40.666666666666664,42.0,20.0,xlsx_bemerkung,141.41937916892547,261.41157967589254,269.9824511406759,5.405137072512244,9.991313982522634,10.318898047523374,256.88823051207777,474.8540018556589,490.4229855230575,66.8840059060604,123.63407152332375,127.68764763884258,275.1161983832338,508.54812428415937,525.2218332770827,267.3082063619353,494.1151693356985,510.3156666909673,0.1922647291466655,0.3553984387256545,0.3670508465527252,118.46044498050786,218.97233769124176,226.15175859915135,12.347718776495418,22.824571071703648,23.57291766421852,0.0,0.0,0.0,0.0223172247957599,0.0412530518951925,0.0426056109737234,54.13756601604522,100.07247051450784,103.35353512154089,177.0624613641185,317.6381969075053,305.6255333358689,19.235110264796276,22.747664111228012,24.14887123980741,366.5423525572178,602.428082904458,600.0771075681976,94.83753013580493,156.53631551426224,155.6411718685871,349.1285781258445,606.8245765464054,599.2342130196935,409.3141772409223,673.1148773895759,652.3216375699543,36.66649019227426,24.204878745754954,36.84127630968032,154.09024429518084,263.1177136932025,261.7815579138244,23.02736779127374,33.78903105107187,34.25256667899684,0.0104385922032312,0.007121853278585,0.0104385922032312,0.0277678334363189,0.0447684175749066,0.0480562196142825,88.7441463756745,135.9506585578711,137.96011548117016,14.0,3.069134923817161,0.1801350762619574,5.673249404631721,0.2962311263903784,5.859257581832761,0.2870802294781612,77.0,20.00714285714286,29.000000000000004,
000.A,2022-09-13,0.0,4241.728629173112,4513.017234084562,807.5930397135959,1250.0,1256.0,0.0,5457.495452087123,15.3,71.61491636400838,0.72,5.5,1152.0263320304464,0.0,0.0,2609.830361026534,5.7,1665.6256506350198,185.145624154383,7.07,7.45,13.2493919802971,13.484833654342,22.0,17.2,16.7,000,A,FUERTH2022,Fürth 2022,2022,,False,Control,000,Control,2022-05-15,121,3.0,4.0,3.0,0.0,xlsx_bemerkung,19.28446079576257,25.712614394350084,19.28446079576257,0.5291742588473526,0.7055656784631367,0.5291742588473526,31.34282238305255,41.79042984407007,31.34282238305255,8.512509842589504,11.350013123452674,8.512509842589504,33.34741798584651,44.463223981128685,33.34741798584651,40.326321074535386,53.76842809938052,40.326321074535386,0.0,0.0,0.0,12.307578699273543,16.410104932364725,12.307578699273543,1.3680711144412536,1.8240948192550048,1.3680711144412536,0.0,0.0,0.0,0.0,0.0,0.0,5.967436254041349,7.9565816720551314,5.967436254041349,196.34692215988105,343.3508113018554,324.9099941316315,19.764284523643628,23.45322978969115,24.67804549865476,397.8851749402703,644.218512748528,631.4199299512501,103.35003997839443,167.88632863771494,164.1536817111766,382.475996111691,651.287800527534,632.58163100554,449.6404983154577,726.8833054889565,692.6479586444897,36.66649019227426,24.204878745754954,36.84127630968032,166.3978229944544,279.5278186255672,274.08913661309793,24.395438905714997,35.61312587032688,35.6206377934381,0.0104385922032312,0.007121853278585,0.0104385922032312,0.0277678334363189,0.0447684175749066,0.0480562196142825,94.71158262971583,143.90724022992623,143.9275517352115,14.0,0.4630120490627217,0.1978822869036497,0.6173493987502957,0.3198940739126348,0.4630120490627217,0.3048274401198534,34.8,17.264285714285716,21.4,
000.A,2022-10-11,0.0,3493.188282848445,3384.762925563422,832.570144034635,1080.0,1072.0,0.0,5391.939951161152,15.1,76.73026753286614,0.45,5.4,987.4511417403826,0.0,0.0,2392.3444976076557,8.9,1249.2192379762648,195.827102470982,7.33,7.41,11.2237243130917,11.4433393325124,20.0,17.0,13.0,000,A,FUERTH2022,Fürth 2022,2022,,False,Control,000,Control,2022-05-15,149,3.5,7.166666666666667,3.5,0.0,xlsx_bemerkung,20.62365946213496,42.22939794627636,20.62365946213496,0.6614678235591908,1.3544341149069143,0.6614678235591908,30.11369209352107,61.66136952482887,30.11369209352107,8.512509842589504,17.430377296730892,8.512509842589504,29.178990737615702,59.74745722464168,29.178990737615702,46.482240958285786,95.17792196220424,46.482240958285786,0.0,0.0,0.0,10.769131361864352,22.0510785028651,10.769131361864352,1.6881646764739826,3.456718147065774,1.6881646764739826,0.0,0.0,0.0,0.0,0.0,0.0,7.177328827884784,14.696435219002176,7.177328827884784,216.97058162201603,385.5802092481317,345.5336535937664,20.42575234720282,24.807663904598066,25.33951332221395,427.9988670337914,705.8798822733569,661.5336220447712,111.86254982098392,185.31670593444585,172.6661915537661,411.65498684930674,711.0352577521758,661.7606217431556,496.12273927374343,822.0612274511607,739.1301996027755,36.66649019227426,24.204878745754954,36.84127630968032,177.16695435631874,301.5788971284323,284.85826797496225,26.083603582188974,39.069844017392654,37.30880246991208,0.0104385922032312,0.007121853278585,0.0104385922032312,0.0277678334363189,0.0447684175749066,0.0480562196142825,101.88891145760064,158.6036754489284,151.1048805630963,28.0,0.2668460332811432,0.2183386563269817,0.5463990205280551,0.3617809255889813,0.2668460332811432,0.3252838095431855,82.9,10.832142857142856,76.6,
000.A,2022-11-15,0.0,2994.1613852986675,3102.6993484331365,915.8271584380984,1020.0,1001.0,0.0,5080.551321762787,14.3,196.9410200010231,0.22,5.09,864.0197490228348,0.0,0.0,2261.852979556329,8.4,1145.1176348115762,185.145624154383,7.59,7.57,10.4222254290772,10.1861955732373,10.0,13.1,8.8,000,A,FUERTH2022,Fürth 2022,2022,,False,Control,000,Control,2022-05-15,184,11.0,9.333333333333334,11.0,0.0,xlsx_bemerkung,61.28173097320102,51.99662021968573,61.28173097320102,5.3358404433774735,4.527379770138462,5.3358404433774735,81.1225991090772,68.83129621376247,81.1225991090772,23.40940206712114,19.862522966042174,23.40940206712114,84.06328283932142,71.3264218030606,84.06328283932142,137.65040526943508,116.79428325891465,137.65040526943508,0.0,0.0,0.0,31.025354637752063,26.324543329001752,31.025354637752063,5.016260752951264,4.256221244928345,5.016260752951264,0.0,0.0,0.0,0.0,0.0,0.0,24.81305109068739,21.053497895128697,24.81305109068739,278.25231259521706,437.57682946781745,406.81538456696745,25.761592790580295,29.335043674736525,30.675353765591424,509.1214661428686,774.7111784871195,742.6562211538483,135.27195188810506,205.179228900488,196.07559362088725,495.71826968862814,782.3616795552364,745.8239045824771,633.7731445431785,938.8555107100754,876.7806048722106,36.66649019227426,24.204878745754954,36.84127630968032,208.1923089940708,327.90344045743404,315.8836226127143,31.099864335140243,43.326065262321,42.32506322286335,0.0104385922032312,0.007121853278585,0.0104385922032312,0.0277678334363189,0.0447684175749066,0.0480562196142825,126.70196254828804,179.65717334405713,175.91793165378368,35.0,0.6321806155370894,0.2789172231820074,0.5363956737890457,0.413180921708397,0.6321806155370894,0.3858623763982111,39.5,11.151428571428571,36.6,
000.A,2022-12-12,0.0,2046.0102799540896,1635.968747355654,757.6388310715178,730.0,707.0,0.0,3818.6079289378367,10.7,230.1908025985984,0.19,3.82,534.8693684427072,0.0,0.0,1826.8812527185737,11.0,874.4534665833854,156.66168197678562,7.55,7.55,7.15347494804895,7.22622483239136,-3.0,14.2,5.1,000,A,FUERTH2022,Fürth 2022,2022,,False,Control,000,Control,2022-05-15,211,6.0,18.666666666666668,24.0,18.0,xlsx_bemerkung,26.998245114067583,83.99454035487693,107.99298045627036,3.4018345211615526,10.583485176947052,13.60733808464621,30.23660512247423,94.06943815880872,120.94642048989692,7.904473425261683,24.59169510081413,31.617893701046732,24.176878039738725,75.21695390140938,96.7075121589549,56.43262949169217,175.5681806408201,225.73051796676867,0.0,0.0,0.0,12.922957634237225,40.20475708429358,51.69183053694889,2.3151972705928907,7.2028359529556605,9.260789082371565,0.0,0.0,0.0,0.0,0.0,0.0,11.19663297150026,34.833969244667486,44.78653188600104,305.25055770928464,521.5713698226944,514.8083650232378,29.163427311741845,39.918528851683575,44.28269185023763,539.3580712653428,868.7806166459281,863.6026416437453,143.17642531336676,229.77092400130212,227.693487321934,519.8951477283669,857.5786334566458,842.5314167414319,690.2057740348707,1114.4236913508953,1102.5111228389792,36.66649019227426,24.204878745754954,36.84127630968032,221.11526662830804,368.1081975417276,367.5754531496632,33.41506160573313,50.52890121527666,51.58585230523491,0.0104385922032312,0.007121853278585,0.0104385922032312,0.0277678334363189,0.0447684175749066,0.0480562196142825,137.8985955197883,214.4911425887246,220.7044635397847,27.0,0.3359682580452893,0.3037526590950062,1.045234580585345,0.4904467223266154,1.3438730321811574,0.4852041200502063,44.30000000000001,2.8000000000000003,39.0,
