date,pot,soil_moisture_30cm_pct,soil_moisture_60cm_pct,soil_ec_30cm,soil_ec_60cm,soil_ph_30cm,soil_ph_60cm
2022-05-04,000.A,9.631331775700945,11.08783216783218,,37.78787878787879,,4.092780373831752
2022-05-11,000.A,27.39857142857144,30.45988095238096,136.5952380952381,148.4583333333333,6.230476190476206,6.36517857142858
2022-05-18,000.A,27.17333333333334,30.68916167664672,142.2678571428571,152.1197604790419,6.112095808383248,6.339345238095245
2022-05-25,000.A,27.28946428571427,30.8611445783132,154.0416666666667,152.5481927710843,6.065952380952385,6.319107142857146
2022-06-01,000.A,26.99726190476189,30.99053571428571,165.0892857142857,151.1964285714286,6.051904761904747,6.320119047619047
2022-06-08,000.A,26.49238095238095,30.87940119760479,171.7440476190476,155.7664670658683,5.98443113772456,6.280297619047613
2022-06-15,000.A,24.63431137724551,28.0595238095238,154.6347305389222,140.3333333333333,5.959107142857137,6.218273809523829
2022-06-22,000.A,24.71736526946107,27.56249999999999,156.1497005988024,142.0238095238095,6.18791666666668,6.22142857142858
2022-06-29,000.A,24.45660714285715,28.44488095238095,156.2261904761905,153.3690476190476,6.121676646706591,6.212634730538933
2022-07-06,000.A,20.32688622754491,24.32795180722891,97.9940119760479,121.1867469879518,5.984431137724552,6.201904761904767
2022-07-13,000.A,21.73678571428573,24.8777245508982,98.6547619047619,106.1317365269461,6.022619047619049,6.208023952095814
2022-07-20,000.A,20.94315476190476,21.40161676646708,107.0952380952381,112.9101796407186,5.878273809523801,6.266428571428562
2022-07-27,000.A,19.90505952380952,22.26732142857142,110.2321428571429,161.5535714285714,5.933254437869827,6.408690476190474
2022-08-03,000.A,15.69791666666666,13.71395209580839,83.80952380952381,101.9221556886228,5.594880952380948,6.15577380952381
2022-08-10,000.A,21.31720238095236,20.90523809523808,178.3214285714286,204.8452380952381,5.906964285714282,6.594880952380942
2022-08-17,000.A,22.82363095238096,21.00592814371259,160.422619047619,270.0119760479042,5.983431952662726,6.557797619047622
2022-08-24,000.A,24.59309523809522,24.18583333333334,151.4583333333333,261.1190476190476,6.30089285714286,6.337202380952372
2022-08-31,000.A,19.83857988165681,21.84184523809524,106.4674556213018,174.3809523809524,6.212781065088741,6.244821428571428
2022-09-07,000.A,21.67550898203592,22.56934131736528,127.4251497005988,211.377245508982,6.28261904761905,6.147678571428576
2022-09-14,000.A,23.90805882352941,25.01449704142013,153.8764705882353,237.189349112426,6.240635838150283,5.95766081871345
2022-09-21,000.A,23.8751497005988,25.34732142857144,142.9221556886228,198.7142857142857,6.266723163841801,5.79666666666667
2022-09-28,000.A,24.00904761904762,25.51976190476192,132.5535714285714,174.9047619047619,6.314970059880237,5.676309523809522
2022-10-05,000.A,23.76946428571429,25.52341317365268,122.6726190476191,148.6946107784431,6.341736526946117,5.653254437869831
