date,soil_moisture_30cm_pct,soil_moisture_60cm_pct,soil_temp_30cm_C,soil_ec_30cm,soil_ec_60cm,soil_ph_30cm,soil_ph_60cm,soil_co2_ppm,tank_air_co2_ppm,ambient_co2_ppm
2022-04-13,,,12.184,,,,,,,
2022-04-27,,,13.328236564127101,,,,,,198.4834123222749,
2022-05-04,4.563291480360482,4.615811857369897,15.979671139928367,14.519687042145522,15.777387494072277,4.11193057957059,4.092780373831752,,1304.0089854556727,
2022-05-11,23.127950547318065,31.812059330349634,18.615963813998793,109.71327582929378,157.708593920006,6.343844790176729,6.5561814571711965,,7265.734810062291,
2022-05-18,23.365822136045367,31.743840024125586,20.436372014617383,117.21899996831732,158.8266149499624,6.355245542749088,6.637855446715264,,8277.732683982684,
2022-05-25,23.804359453657938,31.77434423751465,18.53027810983374,127.91612936731563,163.27196824079894,6.312668186660053,6.6315248040188095,,7628.0379374641425,
2022-06-01,23.768024919539712,31.786874106133684,17.44192126227334,133.1449231400494,167.10503079469288,6.291147095810875,6.577678115155233,,5848.264486517499,
2022-06-08,23.463055646495107,31.674780062078934,19.393728426762994,138.27816074406394,174.3880955816422,6.245485924954248,6.56993031082816,,7125.060414884516,
2022-06-15,21.243949831000084,29.273853890257982,22.66740734069269,118.07059589479039,156.65394313279322,6.128035433071304,6.323455167855643,,7707.222562333737,
2022-06-22,20.31174373864943,27.43036764415544,23.079889652030296,108.86955437470823,138.26709229951925,6.14004344115636,6.215959750444664,,8697.854977037794,
2022-06-29,20.59093828721961,28.81419436125505,23.42121869009199,113.56313254191423,156.32991421305093,6.165792768784455,6.242752043245693,,8773.655942876152,
2022-07-06,16.674179999683172,23.68609825689392,22.120117519097146,75.723874726737,112.27943766448884,6.0877681877495515,6.195030875067266,,7757.869665431043,
2022-07-13,19.127101608115797,23.3789849998431,20.391549342956164,90.10121722055908,104.76710298757257,6.1578623966398185,6.204381717359091,,9565.898203592815,
2022-07-20,18.76043372349939,21.881013783655504,21.93610635397466,93.6568213804333,119.93998368347017,6.0845287557716645,6.172743977128298,,9993.40277777778,
2022-07-27,17.143422256711858,22.164975307560432,22.168114090671345,87.38546716091626,149.12341096636334,5.991556187554501,6.324195088626467,,8904.042961695657,
2022-08-03,14.668547332778743,14.797396016272106,22.213712853989865,72.82751705115048,93.94805060704752,5.7689494720293935,6.115342220687536,421.62384615384616,8992.738327244611,
2022-08-10,19.061981638022658,22.781424079766456,20.83684986472714,116.81854505616246,196.13473771046546,6.175887936811702,6.487605194373154,4961.8589285278595,8800.96128453153,
2022-08-17,18.132152892324257,20.852166557066614,21.45777934527391,112.82332874945283,194.21501991405285,6.0485926438899345,6.490868710444348,6678.179483856382,10000.0,
